id,answer
level3_1,0100
level3_2,0100
level3_5,0001
level3_13,10
level3_14,1101
level3_17,1000
level3_22,0100
level3_27,01
level3_35,100
level3_42,01
level3_53,11111
level3_55,010
level3_76,101
level3_93,111
level3_96,100
level1_88,101
level1_120,1010
level1_94,1000
level1_37,100
level1_116,001
level1_38,111
level1_65,111
level1_110,100
level1_11,111
level1_118,0100
level1_41,10
level1_104,010
level1_92,111
level1_25,0100
level1_44,0100
level1_95,1111
level1_121,0100
level1_91,101
level1_107,001
level1_84,001
level1_21,111
level1_122,0110
level1_19,11
level1_98,010
level1_74,01
level1_83,101
level1_111,111
level1_72,010
level1_123,0010
level1_54,10111
level1_73,001
level1_64,111
level1_43,10
level1_97,011
level1_102,010
level1_26,10
level1_33,100
level1_86,100
level1_90,111
level1_100,001
level1_48,1111
level1_18,10
level1_113,101
level1_106,111
level1_7,110
level1_24,100
level1_79,1011
level1_40,111
level1_62,1000
level1_23,111
level1_10,010
level1_103,111
level1_105,110
level1_59,1100
level1_46,1000
level2_1,100
level2_2,010
level2_3,110
level2_10,0101
level2_11,101
level2_12,101
level2_16,1100
level2_17,0100
level2_18,1101
level2_23,100
level2_24,00001
level2_25,100
level2_29,0010
level2_30,1111
level2_31,111
level2_32,00100
level2_33,100
level2_34,1000
level2_35,111
level2_36,111
level2_36,0010
level2_37,1100
level2_38,1000
level2_39,1100
level2_40,0100
level4_4,1111
level4_9,1111
level4_27,1111
level4_28,1001
level4_35,111
